cpc	description	4char	3char
H05G1/64	. . Circuit arrangements for X-ray apparatus incorporating image intensifiers	H05G	H05
H01J2211/34	. . Vessels, containers or parts thereof, e.g. substrates	H01J	H01
H01J1/53	. Electrodes intimately associated with a screen on or from which an image or pattern is formed, picked up, converted, or stored {(see provisionally also H01J29/08 - H01J29/36)}	H01J	H01
H04M2215/00	Metering arrangements; Time controlling arrangements; Time indicating arrangements	H04M	H04
H01H2219/0023	. . Images formed with electrophoretic technology, e.g. by charged pigment particles rearranged by applied electric field, e.g. electronic paper or e-paper, active ink, gyricon	H01H	H01
H01H2221/006	. . Adhesive	H01H	H01
H04Q2213/13399	. Virtual channel/circuits	H04Q	H04
H01J2229/0794	. . Geometrical arrangements, e.g. curvature	H01J	H01
H01L2224/80	. Methods for connecting semiconductor or other solid state bodies using means for bonding being attached to, or being formed on, the surface to be connected	H01L	H01
H03B2200/0024	. . including parallel striplines	H03B	H03
H03H11/38	. . One-way transmission networks, i.e. unilines	H03H	H03
H02P8/04	. Arrangements for starting	H02P	H02
H02K17/34	. . Cascade arrangement of an asynchronous motor with another dynamo-electric motor or converter	H02K	H02
H01L2924/01087	. . Francium [Fr]	H01L	H01
H04Q2213/13294	. CDMA, code division multiplexing, i.e. combinations of H04Q2213/13291 and/or H04Q2213/13292 with space division	H04Q	H04
H01H2203/05	. . to avoid damage by deformation of layers	H01H	H01
H01H2239/004	. High frequency adaptation or shielding	H01H	H01
H03F2200/339	. Pulse amplitude modulation being used in an amplifying circuit	H03F	H03
H03K23/80	. using semiconductor devices having only two electrodes, e.g. tunnel diode, multi-layer diode	H03K	H03
H03D2200/0084	. . Lowering the supply voltage and saving power	H03D	H03
H03F2200/132	. Hybrid coupler placed in a feedback circuit of an amplifier	H03F	H03
H05G1/60	. . Circuit arrangements for obtaining a series of X-ray photographs or for X-ray cinematography	H05G	H05
H01H2219/046	. . above switch site	H01H	H01
H03C2200/0016	. . Pre-emphasis or de-emphasis circuits	H03C	H03
H01J2229/893	. . using lenses	H01J	H01
H01H29/30	. with level of surface of contact liquid displaced by expansion or evaporation thereof	H01H	H01
H01H2229/038	. Folding of flexible printed circuit	H01H	H01
H03J9/06	. using electromagnetic waves other than radio waves, e.g. light	H03J	H03
H01H17/28	. . secured to part or parts of the switch driving mechanism having only rectilinear motion	H01H	H01
H04M2203/053	. . remote terminal provisioning, e.g. of applets	H04M	H04
H01H2221/004	. . U-shaped openings surrounding keys	H01H	H01
H03K3/86	. Generating pulses by means of delay lines and not covered by the preceding subgroups	H03K	H03
H01H2239/064	. Simulating the appearance of touch panel	H01H	H01
H01H2231/046	. Camera	H01H	H01
H04R9/18	. Resonant transducers, i.e. adapted to produce maximum output at a predetermined frequency	H04R	H04
H05K2201/2063	. . mixed adhesion layer containing metallic/inorganic and polymeric materials	H05K	H05
H03B2202/06	. Reduction of undesired oscillations through modification of a bias voltage, e.g. selecting the operation point of an active device	H03B	H03
H03H9/62	. . comprising resonators of magnetostrictive material (H03H9/64 takes precedence)	H03H	H03
H04M2215/7435	. . Location dependent, e.g. Bussiness or home	H04M	H04
H04M2215/8187	. . Send to	H04M	H04
H01H2221/064	. Limitation of actuating pressure	H01H	H01
H01H73/66	. . having combined electrothermal and electromagnetic release	H01H	H01
H04Q2213/1307	. Call setup	H04Q	H04
H01J2211/54	. . Means for exhausting the gas	H01J	H01
H01K1/44	. . directly applied to, or forming part of, the vessel	H01K	H01
H01J9/233	. . Manufacture of photoelectric screens or charge-storage screens	H01J	H01
H01J11/52	. . Means for absorbing or adsorbing the gas mixture, e.g. by gettering	H01J	H01
H01J2211/52	. . Means for absorbing or adsorbing the gas mixture, e.g. by gettering	H01J	H01
H01C10/38	. . the contact moving along a straight path	H01C	H01
H01J2329/8625	. . Spacing members	H01J	H01
H01R33/90	. adapted for co-operation with two or more dissimilar counterparts	H01R	H01
H02P9/32	. . using magnetic devices with controllable degree of saturation (H02P9/34 takes precedence)	H02P	H02
H01L2224/98	. Methods for disconnecting semiconductor or solid-state bodies	H01L	H01
H01H2205/006	. mounted on spacer	H01H	H01
H01K1/60	. Means structurally associated with the lamp for indicating defects or previous use	H01K	H01
H01H2213/01	. with internal pressure of other switch sites	H01H	H01
H01L2221/00	Processes or apparatus adapted for the manufacture or treatment of semiconductor or solid state devices or of parts thereof covered by H01L21/00	H01L	H01
H04W92/22	. . between access point controllers	H04W	H04
H01H29/16	. operated by dipping soil contact into stationary contact liquid	H01H	H01
H01H19/46	. the operating part having three operative positions, e.g. off/star/delta	H01H	H01
H02P9/12	. . for demagnetising; for reducing effects of remanence; for preventing pole reversal	H02P	H02
H01J2217/00	Gas-filled discharge tubes (H01J2211/00 takes precedence)	H01J	H01
H01J40/14	. . Circuit arrangements not adapted to a particular application of the tube and not otherwise provided for	H01J	H01
H01H2223/052	. . reductible in size, e.g. for transportation	H01H	H01
H01G9/18	. Self-interrupters	H01G	H01
H03C3/00	Angle modulation (H03C5/00, H03C7/00 take precedence)	H03C	H03
H04Q5/22	. . the subordinate centre not permitting interconnection of subscribers connected thereto	H04Q	H04
H04N2201/0074	. . Arrangements for the control of a still picture apparatus by the connected apparatus (arrangements for the control of the connected apparatus by the still picture apparatus H04N2201/0013; control of image communication with the connected apparatus H04N2201/0015)	H04N	H04
H03M11/26	. using opto-electronic means	H03M	H03
H01J2329/941	. . Means for exhausting the vessel	H01J	H01
H01H2213/002	. with external pressure	H01H	H01
H01C10/20	. . Contact structure or movable resistive elements being ganged	H01C	H01
H01C10/22	. resistive element dimensions changing gradually in one direction, e.g. tapered resistive element (H01C10/04 takes precedence)	H01C	H01
H04M3/04	. . the calling signal being supplied from the final selector	H04M	H04
H01J25/02	. Tubes with electron stream modulated in velocity or density in a modulator zone and thereafter giving up energy in an inducing zone, the zones being associated with one or more resonators	H01J	H01
H04N5/257	. . Picture signal generators using flying-spot scanners (H04N5/253 takes precedence)	H04N	H04
H04M19/06	. in which current supply sources at subordinate switching centres are charged from the main exchange	H04M	H04
H04M2203/20	. related to features of supplementary services	H04M	H04
H04Q2213/13531	. virtual networks - inc. PVN	H04Q	H04
H01H2217/033	. . by speech	H01H	H01
H05G1/58	. . Switching arrangements for changing-over from one mode of operation to another, e.g. from radioscopy to radiography, from radioscopy to irradiation {or from one tube voltage to another}	H05G	H05
H05B2206/042	. . Microwave oven combined with a toaster or including a toaster	H05B	H05
H04N1/36	. . for synchronising or phasing transmitter and receiver	H04N	H04
H01J7/20	. . Means for producing, introducing, or replenishing gas or vapour during operation of the tube or lamp	H01J	H01
H01C3/18	. . wound on a flat or ribbon base (H01C3/16 takes precedence)	H01C	H01
H04M2203/55	. related to network data storage and management	H04M	H04
H01R39/62	. . with more than one brush co-operating with the same set of segments	H01R	H01
H04M2215/32	. Involving wireless systems	H04M	H04
H03D3/00	Demodulation of angle-, {frequency- or phase-} modulated oscillations (H03D5/00, H03D9/00, H03D11/00 take precedence)	H03D	H03
H04Q2213/13242	. Broadcast, diffusion, multicast, point-to-multipoint (1 : N)	H04Q	H04
H03B2200/001	. . Hartley oscillator	H03B	H03
H04M2201/10	. Logic circuits	H04M	H04
H04M2215/0104	. . Augmented, consolidated or itemised billing statement, e.g. additional billing information, bill presentation, layout, format, e-mail, fax, printout, itemised bill per service or per account, cumulative billing, consolidated billing	H04M	H04
H03K5/007	. . Base line stabilisation (thresholding H03K5/08)	H03K	H03
H01J2237/1538	. . Space charge (Boersch) effect compensation (neutralising means H01J2237/0041)	H01J	H01
H01H27/04	. Insulating plug or plate inserted between normally closed contacts	H01H	H01
H05K2203/083	. . Evaporation or sublimation of a compound, e.g. gas bubble generating agent	H05K	H05
H01J2235/1093	. . Measures for preventing vibration	H01J	H01
H03K9/00	Demodulating pulses which have been modulated with a continuously-variable signal	H03K	H03
H01L2924/01059	. . Praseodymium [Pr]	H01L	H01
H01L2924/01066	. . Dysprosium [Dy]	H01L	H01
H03F9/06	. Control by voltage time integral, i.e. the load current flowing in only one direction through a main coil, whereby the main coil winding also can be used as a control winding, e.g. Ramey circuits	H03F	H03
H03G2201/106	. . being attenuating element	H03G	H03
H01L2224/34	. . Strap connectors, e.g. copper straps for grounding power devices; Manufacturing methods related thereto	H01L	H01
H04Q2213/05	. Software aspects	H04Q	H04
H05K2201/2081	. . Compound repelling a metal, e.g. solder	H05K	H05
H01L2924/01112	. . Noble gases	H01L	H01
H01H67/02	. Multi-position wiper switches	H01H	H01
H04N3/36	. Scanning of motion picture films, e.g. for telecine	H04N	H04
H04M15/30	. . the meter {or calculation of charges} not being controlled from an exchange	H04M	H04
H05K2203/0703	. . Plating	H05K	H05
H01K3/20	. Sealing-in wires directly into the envelope	H01K	H01
H01L2924/01045	. . Rhodium [Rh]	H01L	H01
H04Q2213/294	. Other multiplexing systems, e.g. codemultiplex, TDM, FDM, FDM and Space division, TDM and Space division	H04Q	H04
H01J25/22	. . Reflex klystrons, i.e. tubes having one or more resonators, with a single reflection of the electron stream, and in which the stream is modulated mainly by velocity in the modulator zone	H01J	H01
H01J7/44	. One or more circuit elements structurally associated with the tube or lamp	H01J	H01
H01H2227/016	. Switch site protrusions; Force concentrators	H01H	H01
H01H2300/008	. Application power seats	H01H	H01
H04H2201/15	. . system for wireless information forwarding and teledistribution [SWIFT]	H04H	H04
H01H2209/03	. . elastomeric	H01H	H01
H01H2233/074	. . Snap coupling	H01H	H01
H03F2200/549	. the amplifier comprising means to emulate the vacuum tube behaviour	H03F	H03
H04M2215/44	. Charging/billing arrangements for connection made over different networks, e.g. wireless and PSTN, ISDN, etc.	H04M	H04
H01J1/48	. . characterised by the material	H01J	H01
H01J1/36	. . Solid anodes; Solid auxiliary anodes for maintaining a discharge	H01J	H01
H01J11/50	. . Filling, e.g. selection of gas mixture	H01J	H01
H01H63/36	. Circuit arrangements for ensuring correct or desired operation and not adapted to a particular application of the selector switch	H01H	H01
H01H2207/016	. Jumpers; Cross-overs	H01H	H01
H04H60/71	. . using meteorological information	H04H	H04
H05K2201/049	. . PCB for one component, e.g. for mounting onto mother PCB	H05K	H05
H03G2201/708	. . being temperature	H03G	H03
H01H43/24	. with timing of actuation of contacts due to a non-rotatable moving part	H01H	H01
H01R39/56	. . Devices for lubricating or polishing slip-rings or commutators during operation of the collector	H01R	H01
H01H2300/032	. . using RFID technology in switching devices	H01H	H01
H03F2203/45542	. . the IC comprising bias stabilisation means, e.g. DC level stabilisation, and temperature coefficient dependent control, e.g. by DC level shifting	H03F	H03
H04N2201/214	. . Checking or indicating the storage space	H04N	H04
H04M2215/2006	. . Fixed telephone network, e.g. POTS, ISDN	H04M	H04
H04M2215/206	. . CDMA, i.e. Code Division Multiple Access	H04M	H04
H04M2215/7813	. . Time based data, e.g. VoIP or circuit switched packet data	H04M	H04
H01R33/95	. . with fuse; with thermal switch	H01R	H01
H04M2203/5072	. . Multiple active speakers (conducting a computer conference, e.g. Admission detection H04L12/1822)	H04M	H04
H04M2203/5081	. . Inform conference party of participants, e.g. of change of participants (conducting a computer conference, e.g. admission detection, H04L12/1822)	H04M	H04
H03H2222/00	Indexing scheme relating to digital filtering methods	H03H	H03
H03F7/00	Parametric amplifiers ({H03F19/00 takes precedence}; devices or arrangements for the parametric generation or amplification of light, infra-red or ultra-violet waves G02F 1/39)	H03F	H03
H01J2893/0032	. Tubes with variable amplification factor	H01J	H01
H04M2215/7893	. . Money or currency based	H04M	H04
H03G2201/704	. . being number of multiplexed channels	H03G	H03
H01H2300/05	. . Snap closing with trip, wherein the contacts are locked open during charging of mechanism and unlocked by separate trip device, e.g. manual, electromagnetic etc.	H01H	H01
H04N11/18	. . using simultaneous and sequential signals, e.g. SECAM-system	H04N	H04
H04M2203/2033	. . Call handling or answering restrictions, e.g. specified by the calling party	H04M	H04
